CSV-Export;Version, 1,01;Separator, Semicolon

;SENS0700;SENS0700;SENS0700;SENS0700;SENS0700;SENS0700
;15751;15751;15751;15751;15751;15751
TimeStamp;ExlSolIrr;IntSolIrr;SMA-h-On;TmpAmb C;TmpMdul C;WindVel m/s
hh,mm;W/m^2;W/m^2;h;°C;°C;m/s
00,00;0;0,96;1044,31;-273,17;20,43;0
00,05;0;0,67;1044,39;-273,17;20,34;0
00,10;0;0,96;1044,47;-273,17;20,24;0
00,15;0;1;1044,56;-273,17;20,25;0
00,20;0;0,89;1044,64;-273,17;20,33;0
00,25;0;0,88;1044,72;-273,17;20,25;0
00,30;0;0,94;1044,8;-273,17;20,19;0
00,35;0;1;1044,89;-273,17;20,13;0
00,40;0;1;1044,97;-273,17;20,17;0
00,45;0;0,85;1045,05;-273,17;20,2;0
00,50;0;0,73;1045,13;-273,17;20,18;0
00,55;0;0,9;1045,22;-273,17;20,17;0
01,00;0;1;1045,3;-273,17;20,17;0
01,05;0;0,95;1045,38;-273,17;20,04;0
01,10;0;0,95;1045,46;-273,17;19,94;0
01,15;0;0,78;1045,55;-273,17;19,9;0
01,20;0;0,8;1045,63;-273,17;19,77;0
01,25;0;0,57;1045,71;-273,17;19,73;0
01,30;0;0,66;1045,8;-273,17;19,78;0
01,35;0;0,76;1045,88;-273,17;19,83;0
01,40;0;1;1045,96;-273,17;19,83;0
01,45;0;0,88;1046,04;-273,17;19,75;0
01,50;0;1;1046,13;-273,17;19,69;0
01,55;0;1;1046,21;-273,17;19,71;0
02,00;0;0,91;1046,29;-273,17;19,68;0
02,05;0;1;1046,37;-273,17;19,72;0
02,10;0;0,77;1046,46;-273,17;19,62;0
02,15;0;0,63;1046,54;-273,17;19,53;0
02,20;0;0,97;1046,62;-273,17;19,49;0
02,25;0;0,86;1046,7;-273,17;19,38;0
02,30;0;0,99;1046,79;-273,17;19,42;0
02,35;0;0,97;1046,87;-273,17;19,43;0
02,40;0;0,92;1046,95;-273,17;19,4;0
02,45;0;1;1047,03;-273,17;19,31;0
02,50;0;0,95;1047,12;-273,17;19,27;0
02,55;0;0,88;1047,2;-273,17;19,36;0
03,00;0;1;1047,28;-273,17;19,43;0
03,05;0;1;1047,37;-273,17;19,51;0
03,10;0;1;1047,45;-273,17;19,43;0
03,15;0;0,96;1047,53;-273,17;19,55;0
03,20;0;1;1047,61;-273,17;19,75;0
03,25;0;1;1047,7;-273,17;19,83;0
03,30;0;0,62;1047,78;-273,17;19,91;0
03,35;0;0,29;1047,86;-273,17;19,93;0
03,40;0;0,8;1047,94;-273,17;19,86;0
03,45;0;0,72;1048,03;-273,17;20,04;0
03,50;0;0,29;1048,11;-273,17;20,29;0
03,55;0;0,95;1048,19;-273,17;20,36;0
04,00;0;0,86;1048,28;-273,17;20,33;0
04,05;0;0,96;1048,36;-273,17;20,33;0
04,10;0;1;1048,44;-273,17;20,31;0
04,15;0;0,88;1048,52;-273,17;20,19;0
04,20;0;0,96;1048,61;-273,17;20,08;0
04,25;0;0,88;1048,69;-273,17;19,93;0
04,30;0;0,98;1048,77;-273,17;20,15;0
04,35;0;0,6;1048,85;-273,17;20,47;0
04,40;0;0,95;1048,94;-273,17;20,87;0
04,45;0;0,62;1049,02;-273,17;21,07;0
04,50;0;0,81;1049,1;-273,17;21,3;0
04,55;0;0,3;1049,18;-273,17;21,41;0
05,00;0;0,66;1049,27;-273,17;21,43;0
05,05;0;0,93;1049,35;-273,17;21,37;0
05,10;0;0,73;1049,43;-273,17;21,28;0
05,15;0;0,65;1049,52;-273,17;21,41;0
05,20;0;0,92;1049,6;-273,17;21,62;0
05,25;0;0,88;1049,68;-273,17;21,73;0
05,30;0;0,97;1049,76;-273,17;21,73;0
05,35;0;1;1049,85;-273,17;21,73;0
05,40;0;0,91;1049,93;-273,17;21,81;0
05,45;0;1;1050,01;-273,17;21,87;0
05,50;0;1,02;1050,09;-273,17;21,92;0
05,55;0;2,12;1050,18;-273,17;21,83;0
06,00;0;3,88;1050,26;-273,17;21,83;0
06,05;0;4,95;1050,34;-273,17;21,89;0
06,10;0;7,21;1050,42;-273,17;22,01;0
06,15;0;13,6;1050,51;-273,17;22,19;0
06,20;0;22,8;1050,59;-273,17;22,4;0
06,25;0;31,16;1050,67;-273,17;22,6;0
06,30;0;33,14;1050,76;-273,17;22,7;0
06,35;0;41,85;1050,84;-273,17;22,92;0
06,40;0;53,11;1050,92;-273,17;23,18;0
06,45;0;71,67;1051;-273,17;23,5;0
06,50;0;117,55;1051,09;-273,17;24,08;0
06,55;0;138,67;1051,17;-273,17;24,75;0
07,00;0;148,6;1051,25;-273,17;25,5;0
07,05;0;160,66;1051,33;-273,17;26,02;0
07,10;0;171,43;1051,41;-273,17;26,39;0
07,15;0;196,22;1051,5;-273,17;26,45;0
07,20;0;217,92;1051,58;-273,17;26,87;0
07,25;0;250,14;1051,66;-273,17;27,74;0
07,30;0;290,53;1051,74;-273,17;28,53;0
07,35;0;294,13;1051,83;-273,17;28,93;0
07,40;0;353,32;1051,91;-273,17;30,46;0
07,45;0;383,17;1051,99;-273,17;33,58;0
07,50;0;408,4;1052,08;-273,17;35,81;0
07,55;0;445,2;1052,16;-273,17;37,77;0
08,00;0;387,12;1052,24;-273,17;38,99;0
08,05;0;373,33;1052,32;-273,17;38,88;0
08,10;0;517,58;1052,41;-273,17;40,22;0
08,15;0;332,18;1052,49;-273,17;41,79;0
08,20;0;254,04;1052,57;-273,17;39,97;0
08,25;0;184,59;1052,65;-273,17;37,75;0
08,30;0;183,48;1052,74;-273,17;35,57;0
08,35;0;225,65;1052,82;-273,17;34,4;0
08,40;0;314,89;1052,9;-273,17;34,64;0
08,45;0;510,71;1052,99;-273,17;36,66;0
08,50;0;596,89;1053,07;-273,17;40,7;0
08,55;0;438,42;1053,15;-273,17;42,66;0
09,00;0;406,77;1053,23;-273,17;42,34;0
09,05;0;301,04;1053,32;-273,17;41,4;0
09,10;0;348,84;1053,4;-273,17;40,18;0
09,15;0;378,95;1053,48;-273,17;40,01;0
09,20;0;253,11;1053,56;-273,17;39,18;0
09,25;0;199,46;1053,65;-273,17;37,75;0
09,30;0;243,98;1053,73;-273,17;36,41;0
09,35;0;256,86;1053,81;-273,17;36,33;0
09,40;0;288,04;1053,89;-273,17;36,21;0
09,45;0;329,43;1053,98;-273,17;36,44;0
09,50;0;593,79;1054,06;-273,17;38,76;0
09,55;0;529,85;1054,14;-273,17;41,99;0
10,00;0;524,91;1054,23;-273,17;42,58;0
10,05;0;461,59;1054,31;-273,17;42,58;0
10,10;0;483,38;1054,39;-273,17;41,92;0
10,15;0;356,74;1054,47;-273,17;42,03;0
